State,,Internal,Section,Trees,kappa,theta,zeta,phi
Wisconsin,1845,external,section,P,2,0.82,1.14,0.89
Wisconsin,1845,external,quartersection,P,1,1.29,1.11,0.89
Wisconsin,1845,internal,section,P,1,1.14,1.17,0.89
Wisconsin,1845,internal,quartersection,P,1,1.08,1.06,0.85
Wisconsin,1845,external,section,2nQ,0.86,1,1.21,0.86
Wisconsin,1845,external,quartersection,2nQ,0.8563,1,1.11,0.91
Wisconsin,1845,internal,section,2nQ,0.86,1,1.24,0.92
Wisconsin,1845,internal,quartersection,2nQ,0.86,1,0.75,0
Wisconsin,1907,external,section,P,2,0.89,1.16,0.9
Wisconsin,1907,external,quartersection,P,2,0.9,1.14,0.84
Wisconsin,1907,internal,section,P,1,1.07,1.12,0.9
Wisconsin,1907,internal,quartersection,P,1,1.04,1.04,0.8
Wisconsin,1907,external,section,2nQ,0.86,1,1.13,0.99
Wisconsin,1907,external,quartersection,2nQ,0.86,1,1.12,0
Wisconsin,1907,internal,section,2nQ,0.856313,1,1.24,0.83
Wisconsin,1907,internal,quartersection,2nQ,0.856313,1,1,0
Michigan,all,external,section,P,2,0.87,1.25,0.85
Michigan,all,external,quartersection,P,1,0.94,1.21,0.76
Michigan,all,internal,section,P,1,1.27,1.24,0.85
Michigan,all,internal,quartersection,P,1,1.26,1.15,0.77
Michigan,all,external,section,2nQ,0.86,1,1.24,0.84
Michigan,all,external,quartersection,2nQ,0.86,1,1.35,0.85
Michigan,all,internal,section,2nQ,0.856313,1,1.26,0.84
Michigan,all,internal,quartersection,2nQ,0.856313,1,1.28,0.68
Minnesota,1855,external,section,P,2,0.71,1.19,0.67
Minnesota,1855,external,quartersection,P,1,1.05,1.11,0.68
Minnesota,1855,internal,section,P,1,0.71,1.05,0.76
Minnesota,1855,internal,quartersection,P,1,1.09,1.03,0.6
Minnesota,1855,external,section,2nQ,0.86,1,1.17,0.66
Minnesota,1855,external,quartersection,2nQ,0.86,1,1,0.68
Minnesota,1855,internal,section,2nQ,0.856313,1,1.5,0.59
Minnesota,1855,internal,quartersection,2nQ,0.856313,1,1,0.25
Minnesota,1907,external,section,P,2,0.71,1.19,0.67
Minnesota,1907,external,quartersection,P,1,1.05,1.11,0.68
Minnesota,1907,internal,section,P,1,0.71,1.05,0.76
Minnesota,1907,internal,quartersection,P,1,1.09,1.03,0.6
Minnesota,1907,external,section,2nQ,0.86,1,1.17,0.66
Minnesota,1907,external,quartersection,2nQ,0.86,1,1,0.68
Minnesota,1907,internal,section,2nQ,0.856313,1,1.5,0.59
Minnesota,1907,internal,quartersection,2nQ,0.856313,1,1,0.25
