Taxon,PFT
No tree,Grass
Alder,Temperate Broadleaf Deciduous Tree
Ash,Temperate Broadleaf Deciduous Tree
Basswood,Temperate Broadleaf Deciduous Tree
Bay,Temperate Broadleaf Deciduous Tree
Beech,Temperate Broadleaf Deciduous Tree
Birch,Temperate Broadleaf Deciduous Tree
Buckeye,Temperate Broadleaf Deciduous Tree
Catalpa,Temperate Broadleaf Deciduous Tree
Cedar/juniper,Temperate Needleleaf Evergreen Tree
Chamaecyparis,Temperate Needleleaf Evergreen Tree
Cherry,Temperate Broadleaf Deciduous Tree
Chestnut,Temperate Broadleaf Deciduous Tree
Cyprus,Temperate Needleleaf Deciduous Tree
Dogwood,Temperate Broadleaf Deciduous Tree
Elm,Temperate Broadleaf Deciduous Tree
Fir,Temperate Needleleaf Evergreen Tree
Gum,Temperate Broadleaf Deciduous Tree
Hackberry,Temperate Broadleaf Deciduous Tree
Hemlock,Temperate Needleleaf Evergreen Tree
Hickory,Temperate Broadleaf Deciduous Tree
Holly,Temperate Broadleaf Evergreen Tree
Ironwood,Temperate Broadleaf Deciduous Tree
Juniper,Temperate Needleleaf Evergreen Tree
KentuckyCoffee,Temperate Broadleaf Deciduous Tree
Liriodendron,Temperate Broadleaf Deciduous Tree
Locust,Temperate Broadleaf Deciduous Tree
Magnolia,Temperate Broadleaf Deciduous Tree
Maple,Temperate Broadleaf Deciduous Tree
Mullberry,Temperate Broadleaf Deciduous Tree
Oak,Temperate Broadleaf Deciduous Tree
Other hardwood,Temperate Broadleaf Deciduous Tree
PawPaw,Temperate Broadleaf Deciduous Tree
Persimmon,Temperate Broadleaf Deciduous Tree
Pine,Temperate Needleleaf Evergreen Tree
Poplar,Temperate Broadleaf Deciduous Tree
Redbud,Temperate Broadleaf Deciduous Tree
Rose Tree,Temperate Broadleaf Deciduous Tree
Sourwood,Temperate Broadleaf Deciduous Tree
Spruce,Temperate Needleleaf Evergreen Tree
SweetGum,Temperate Broadleaf Deciduous Tree
Sycamore,Temperate Broadleaf Deciduous Tree
Tamarack,Temperate Needleleaf Deciduous Tree
Tulip poplar,Temperate Broadleaf Deciduous Tree
Unknown tree,NA
Walnut,Temperate Broadleaf Deciduous Tree
Willow,Temperate Broadleaf Deciduous Tree
